GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2400125,160,24,,,,,,Aberdeen city,14959,6191,13842,5894,14959,13842
2400175,160,24,,,,,,Aberdeen Proving Ground CDP,2093,754,3116,902,2093,3116
2400225,160,24,,,,,,Accident town,325,173,353,162,325,353
2400250,160,24,,,,,,Accokeek CDP,10573,3816,7349,2562,10573,7349
2400350,160,24,,,,,,Adamstown CDP,2372,722,,,2372,
2400400,160,24,,,,,,Adelphi CDP,15086,5526,14998,5627,15086,14998
2400712,160,24,,,,,,Algonquin CDP,1241,618,1361,606,1241,1361
2400800,160,24,,,,,,Allen CDP,210,82,,,210,
2401450,160,24,,,,,,Andrews AFB CDP,2973,1385,7925,2133,2973,7925
2401600,160,24,,,,,,Annapolis city,38394,17845,35838,16165,38394,35838
2401635,160,24,,,,,,Annapolis Neck CDP,10950,4857,,,10950,
2401750,160,24,,,,,,Antietam CDP,89,47,,,89,
2401925,160,24,,,,,,Aquasco CDP,981,424,,,981,
2401975,160,24,,,,,,Arbutus CDP,20483,8563,20116,8380,20483,20116
2402025,160,24,,,,,,Arden on the Severn CDP,1953,782,1971,759,1953,1971
2402275,160,24,,,,,,Arnold CDP,23106,8766,23422,8623,23106,23422
2402762,160,24,,,,,,Ashton-Sandy Spring CDP,5628,1936,3437,1282,5628,3437
2402825,160,24,,,,,,Aspen Hill CDP,48759,17339,50228,18565,48759,50228
2403500,160,24,,,,,,Baden CDP,2128,811,,,2128,
2403514,160,24,,,,,,Bagtown CDP,333,133,,,333,
2403575,160,24,,,,,,Bakersville CDP,30,13,,,30,
2403800,160,24,,,,,,Ballenger Creek CDP,18274,7372,13518,5406,18274,13518
2404000,160,24,,,,,,Baltimore city,620961,296685,651154,300477,620961,651154
2404050,160,24,,,,,,Baltimore Highlands CDP,7019,2708,,,7019,
2404250,160,24,,,,,,Barclay town,120,57,143,60,120,143
2404475,160,24,,,,,,Barnesville town,172,71,161,65,172,161
2404525,160,24,,,,,,Barrelville CDP,73,28,,,73,
2404625,160,24,,,,,,Barton town,457,225,478,233,457,478
2404650,160,24,,,,,,Bartonsville CDP,1451,528,,,1451,
2405250,160,24,,,,,,Beaver Creek CDP,251,107,,,251,
2405525,160,24,,,,,,Bel Air CDP,1258,568,,,1258,
2405550,160,24,,,,,,Bel Air town,10120,4744,10080,4444,10120,10080
2405825,160,24,,,,,,Bel Air North CDP,30568,10985,25798,8978,30568,25798
2405950,160,24,,,,,,Bel Air South CDP,47709,18795,39711,15267,47709,39711
2406400,160,24,,,,,,Beltsville CDP,16772,5921,15690,5865,16772,15690
2406550,160,24,,,,,,Benedict CDP,261,142,,,261,
2406615,160,24,,,,,,Bensville CDP,11923,4002,7325,2493,11923,7325
2406800,160,24,,,,,,Berlin town,4485,1953,3491,1427,4485,3491
2406925,160,24,,,,,,Berwyn Heights town,3123,1051,2942,1047,3123,2942
2407125,160,24,,,,,,Bethesda CDP,60858,27470,55277,24368,60858,55277
2407200,160,24,,,,,,Betterton town,345,317,376,277,345,376
2407285,160,24,,,,,,Bier CDP,173,88,,,173,
2407375,160,24,,,,,,Big Pool CDP,82,31,,,82,
2407400,160,24,,,,,,Big Spring CDP,84,40,,,84,
2407625,160,24,,,,,,Bishopville CDP,531,241,,,531,
2407675,160,24,,,,,,Bivalve CDP,201,125,,,201,
2407850,160,24,,,,,,Bladensburg town,9148,3826,7661,3443,9148,7661
2408050,160,24,,,,,,Bloomington CDP,305,134,,,305,
2408625,160,24,,,,,,Boonsboro town,3336,1327,2803,1109,3336,2803
2408775,160,24,,,,,,Bowie city,54727,20687,50269,18718,54727,50269
2408800,160,24,,,,,,Bowleys Quarters CDP,6755,2909,6314,2721,6755,6314
2408850,160,24,,,,,,Bowling Green CDP,1077,533,,,1077,
2408862,160,24,,,,,,Bowmans Addition CDP,627,263,,,627,
2409100,160,24,,,,,,Braddock Heights CDP,2608,1124,4627,1733,2608,4627
2409325,160,24,,,,,,Brandywine CDP,6719,2386,1410,501,6719,1410
2409400,160,24,,,,,,Breathedsville CDP,254,101,,,254,
2409500,160,24,,,,,,Brentwood town,3046,1046,2844,971,3046,2844
2410150,160,24,,,,,,Brock Hall CDP,9552,3363,,,9552,
2410225,160,24,,,,,,Brookeville town,134,57,120,46,134,120
2410475,160,24,,,,,,Brooklyn Park CDP,14373,5548,10938,4311,14373,10938
2410500,160,24,,,,,,Brookmont CDP,3468,1375,3202,1224,3468,3202
2410575,160,24,,,,,,Brookview town,60,31,65,27,60,65
2410650,160,24,,,,,,Broomes Island CDP,405,204,,,405,
2410800,160,24,,,,,,Brownsville CDP,89,42,,,89,
2410900,160,24,,,,,,Brunswick city,5870,2330,4894,1957,5870,4894
2410925,160,24,,,,,,Bryans Road CDP,7244,2694,4912,1903,7244,4912
2410950,160,24,,,,,,Bryantown CDP,655,257,,,655,
2411050,160,24,,,,,,Buckeystown CDP,1019,554,,,1019,
2411400,160,24,,,,,,Burkittsville town,151,74,171,76,151,171
2411750,160,24,,,,,,Burtonsville CDP,8323,2791,7305,2533,8323,7305
2411900,160,24,,,,,,Butlertown CDP,505,213,,,505,
2412075,160,24,,,,,,Cabin John CDP,2280,903,1734,688,2280,1734
2412150,160,24,,,,,,California CDP,11857,4697,9307,3735,11857,9307
2412300,160,24,,,,,,Calvert Beach CDP,808,323,,,808,
2412350,160,24,,,,,,Calverton CDP,17724,7358,12610,4661,17724,12610
2412400,160,24,,,,,,Cambridge city,12326,6228,10911,5230,12326,10911
2412600,160,24,,,,,,Camp Springs CDP,19096,7294,17968,6494,19096,17968
2412912,160,24,,,,,,Cape St. Claire CDP,8747,3315,8022,2932,8747,8022
2413000,160,24,,,,,,Capitol Heights town,4337,1622,4138,1603,4337,4138
2413225,160,24,,,,,,Carlos CDP,153,68,,,153,
2413325,160,24,,,,,,Carney CDP,29941,13970,28264,12477,29941,28264
2414125,160,24,,,,,,Catonsville CDP,41567,16464,39820,16054,41567,39820
2414225,160,24,,,,,,Cavetown CDP,1473,601,1486,589,1473,1486
2414300,160,24,,,,,,Cearfoss CDP,178,76,,,178,
2414325,160,24,,,,,,Cecilton town,663,264,474,212,663,474
2414800,160,24,,,,,,Cedarville CDP,717,387,,,717,
2414950,160,24,,,,,,Centreville town,4285,1694,1970,866,4285,1970
2415075,160,24,,,,,,Chance CDP,353,262,377,254,353,377
2415400,160,24,,,,,,Charlestown town,1183,550,1019,451,1183,1019
2415475,160,24,,,,,,Charlotte Hall CDP,1420,344,1214,332,1420,1214
2415500,160,24,,,,,,Charlton CDP,171,59,,,171,
2415925,160,24,,,,,,Chesapeake Beach town,5753,2354,3180,1331,5753,3180
2415950,160,24,,,,,,Chesapeake City town,673,390,787,371,673,787
2416050,160,24,,,,,,Chesapeake Ranch Estates CDP,10519,3758,,,10519,
2416125,160,24,,,,,,Chester CDP,4167,1954,3723,1723,4167,3723
2416225,160,24,,,,,,Chestertown town,5252,2361,4746,2164,5252,4746
2416550,160,24,,,,,,Cheverly town,6173,2395,6433,2348,6173,6433
2416620,160,24,,,,,,Chevy Chase town,2824,1042,2726,1024,2824,2726
2416625,160,24,,,,,,Chevy Chase CDP,9545,4058,9381,3959,9545,9381
2416720,160,24,,,,,,Chevy Chase Section Five village,658,226,641,228,658,641
2416730,160,24,,,,,,Chevy Chase Section Three village,760,278,773,276,760,773
2416775,160,24,,,,,,Chevy Chase View town,920,311,863,306,920,863
2416787,160,24,,,,,,Chevy Chase Village town,1953,726,2043,718,1953,2043
2416800,160,24,,,,,,Chewsville CDP,238,118,293,125,238,293
2416875,160,24,,,,,,Chillum CDP,33513,11452,34252,12524,33513,34252
2417000,160,24,,,,,,Choptank CDP,129,75,,,129,
2417050,160,24,,,,,,Church Creek town,125,67,85,45,125,85
2417100,160,24,,,,,,Church Hill town,745,311,530,226,745,530
2417350,160,24,,,,,,Clarksburg CDP,13766,4352,1834,619,13766,1834
2417475,160,24,,,,,,Clarysville CDP,73,34,,,73,
2417600,160,24,,,,,,Clear Spring town,358,189,455,210,358,455
2417900,160,24,,,,,,Clinton CDP,35970,12859,26064,8962,35970,26064
2418150,160,24,,,,,,Cloverly CDP,15126,4996,7835,2540,15126,7835
2418200,160,24,,,,,,Cobb Island CDP,1166,674,,,1166,
2418250,160,24,,,,,,Cockeysville CDP,20776,10071,19388,9606,20776,19388
2418475,160,24,,,,,,Colesville CDP,14647,5023,19810,6615,14647,19810
2418750,160,24,,,,,,College Park city,30413,8212,24657,6245,30413,24657
2418850,160,24,,,,,,Colmar Manor town,1404,415,1257,411,1404,1257
2419125,160,24,,,,,,Columbia CDP,99615,41239,88254,35281,99615,88254
2419825,160,24,,,,,,Coral Hills CDP,9895,4217,10720,4177,9895,10720
2419900,160,24,,,,,,Cordova CDP,562,237,592,230,562,592
2419975,160,24,,,,,,Corriganville CDP,455,204,,,455,
2420050,160,24,,,,,,Cottage City town,1305,500,1136,503,1305,1136
2420500,160,24,,,,,,Crellin CDP,264,98,,,264,
2420525,160,24,,,,,,Cresaptown CDP,4592,1351,,,4592,
2420775,160,24,,,,,,Crisfield city,2726,1531,2723,1357,2726,2723
2420875,160,24,,,,,,Crofton CDP,27348,10525,20091,7573,27348,20091
2420925,160,24,,,,,,Croom CDP,2631,1028,,,2631,
2421075,160,24,,,,,,Crownsville CDP,1757,655,1670,516,1757,1670
2421325,160,24,,,,,,Cumberland city,20859,10914,21518,11143,20859,21518
2421475,160,24,,,,,,Damascus CDP,15257,5172,11430,3773,15257,11430
2421550,160,24,,,,,,Dames Quarter CDP,167,124,188,132,167,188
2421675,160,24,,,,,,Danville CDP,271,130,,,271,
2421750,160,24,,,,,,Dargan CDP,165,82,,,165,
2421800,160,24,,,,,,Darlington CDP,409,193,,,409,
2421825,160,24,,,,,,Darnestown CDP,6802,2275,6378,2064,6802,6378
2421925,160,24,,,,,,Dawson CDP,103,49,,,103,
2422050,160,24,,,,,,Deale CDP,4945,2171,4796,1942,4945,4796
2422100,160,24,,,,,,Deal Island CDP,471,348,578,352,471,578
2422275,160,24,,,,,,Deer Park town,399,175,405,181,399,405
2422600,160,24,,,,,,Delmar town,3003,1382,1859,807,3003,1859
2422725,160,24,,,,,,Denton town,4418,1791,2960,1264,4418,2960
2422775,160,24,,,,,,Derwood CDP,2381,852,,,2381,
2422825,160,24,,,,,,Detmold CDP,71,39,,,71,
2423025,160,24,,,,,,District Heights city,5837,2212,5958,2170,5837,5958
2423500,160,24,,,,,,Downsville CDP,355,145,,,355,
2423700,160,24,,,,,,Drum Point CDP,2731,1203,,,2731,
2423975,160,24,,,,,,Dundalk CDP,63597,26144,62306,26385,63597,62306
2424062,160,24,,,,,,Dunkirk CDP,2520,871,2363,773,2520,2363
2424200,160,24,,,,,,Eagle Harbor town,63,58,55,56,63,55
2424250,160,24,,,,,,Eakles Mill CDP,27,14,,,27,
2424450,160,24,,,,,,East New Market town,400,197,167,97,400,167
2424475,160,24,,,,,,Easton town,15945,7405,11708,5399,15945,11708
2424650,160,24,,,,,,East Riverdale CDP,15509,4604,14961,4778,15509,14961
2424825,160,24,,,,,,Eckhart Mines CDP,932,442,,,932,
2424850,160,24,,,,,,Eden CDP,823,369,793,335,823,793
2424925,160,24,,,,,,Edesville CDP,169,92,,,169,
2424950,160,24,,,,,,Edgemere CDP,8669,3653,9248,3764,8669,9248
2425000,160,24,,,,,,Edgemont CDP,231,102,,,231,
2425050,160,24,,,,,,Edgewater CDP,9023,3878,,,9023,
2425150,160,24,,,,,,Edgewood CDP,25562,9821,23378,8834,25562,23378
2425425,160,24,,,,,,Edmonston town,1445,483,959,330,1445,959
2425575,160,24,,,,,,Eldersburg CDP,30531,10844,27741,9382,30531,27741
2425600,160,24,,,,,,Eldorado town,59,26,60,29,59,60
2425750,160,24,,,,,,Elkridge CDP,15593,6066,22042,8719,15593,22042
2425800,160,24,,,,,,Elkton town,15443,5944,11893,4743,15443,11893
2425925,160,24,,,,,,Ellerslie CDP,572,260,,,572,
2426000,160,24,,,,,,Ellicott City CDP,65834,24672,56397,20789,65834,56397
2426025,160,24,,,,,,Elliott CDP,52,63,,,52,
2426200,160,24,,,,,,Emmitsburg town,2814,1070,2290,862,2814,2290
2426550,160,24,,,,,,Ernstville CDP,56,22,,,56,
2426600,160,24,,,,,,Essex CDP,39262,16635,39078,16997,39262,39078
2427250,160,24,,,,,,Fairland CDP,23681,9356,21738,8918,23681,21738
2427325,160,24,,,,,,Fairlee CDP,490,235,,,490,
2427375,160,24,,,,,,Fairmount CDP,457,267,537,275,457,537
2427400,160,24,,,,,,Fairmount Heights town,1494,589,1508,561,1494,1508
2427425,160,24,,,,,,Fairplay CDP,580,202,,,580,
2427500,160,24,,,,,,Fairview CDP,76,30,,,76,
2427580,160,24,,,,,,Fairwood CDP,5031,1643,,,5031,
2427700,160,24,,,,,,Fallston CDP,8958,3216,8427,2906,8958,8427
2427900,160,24,,,,,,Federalsburg town,2739,1191,2620,1130,2739,2620
2428075,160,24,,,,,,Ferndale CDP,16746,6625,16056,6443,16746,16056
2428275,160,24,,,,,,Finzel CDP,547,225,,,547,
2428300,160,24,,,,,,Fishing Creek CDP,163,122,,,163,
2428425,160,24,,,,,,Flintstone CDP,177,80,,,177,
2428640,160,24,,,,,,Forest Glen CDP,6582,2732,7344,3091,6582,7344
2428725,160,24,,,,,,Forest Heights town,2447,927,2585,945,2447,2585
2429000,160,24,,,,,,Forestville CDP,12353,4878,12707,4951,12353,12707
2429400,160,24,,,,,,Fort Meade CDP,9327,2731,9882,2813,9327,9882
2429450,160,24,,,,,,Fort Ritchie CDP,314,111,276,335,314,276
2429525,160,24,,,,,,Fort Washington CDP,23717,8681,23845,8621,23717,23845
2429712,160,24,,,,,,Fountainhead-Orchard Hills CDP,5666,2370,3844,1621,5666,3844
2429790,160,24,,,,,,Four Corners CDP,7945,2913,,,7945,
2430100,160,24,,,,,,Franklin CDP,290,100,,,290,
2430325,160,24,,,,,,Frederick city,65239,27559,52767,22106,65239,52767
